Property Name|Default|Meaning|Since Version
spark.eventLog.erasureCoding.enabled|false|Whether to allow event logs to use erasure coding, or turn erasure coding off, regardless of filesystem defaults. On HDFS, erasure coded files will not update as quickly as regular replicated files, so the application updates will take longer to appear in the History Server. Note that even if this is true, Spark will still not force the file to use erasure coding, it will simply use filesystem defaults.|3.0.0
spark.eventLog.excludedPatterns|(none)|Specifies comma-separated event names to be excluded from the event logs.|4.1.0
spark.eventLog.dir|file:///tmp/spark-events|Base directory in which Spark events are logged, ifspark.eventLog.enabledis true. Within this base directory, Spark creates a sub-directory for each application, and logs the events specific to the application in this directory. Users may want to set this to a unified location like an HDFS directory so history files can be read by the history server.|1.0.0
spark.eventLog.enabled|false|Whether to log Spark events, useful for reconstructing the Web UI after the application has finished.|1.0.0
spark.eventLog.overwrite|false|Whether to overwrite any existing files.|1.0.0
spark.eventLog.buffer.kb|100k|Buffer size to use when writing to output streams, in KiB unless otherwise specified.|1.0.0
spark.eventLog.rolling.enabled|true|Whether rolling over event log files is enabled. If set to true, it cuts down each event log file to the configured size.|3.0.0
spark.eventLog.rolling.maxFileSize|128m|Whenspark.eventLog.rolling.enabled=true, specifies the max size of event log file before it's rolled over.|3.0.0
spark.ui.dagGraph.retainedRootRDDs|Int.MaxValue|How many DAG graph nodes the Spark UI and status APIs remember before garbage collecting.|2.1.0
spark.ui.groupSQLSubExecutionEnabled|true|Whether to group sub executions together in SQL UI when they belong to the same root execution|3.4.0
spark.ui.enabled|true|Whether to run the web UI for the Spark application.|1.1.1
spark.ui.store.path|None|Local directory where to cache application information for live UI. By default this is not set, meaning all application information will be kept in memory.|3.4.0
spark.ui.killEnabled|true|Allows jobs and stages to be killed from the web UI.|1.0.0
spark.ui.threadDumpsEnabled|true|Whether to show a link for executor thread dumps in Stages and Executor pages.|1.2.0
spark.ui.threadDump.flamegraphEnabled|true|Whether to render the Flamegraph for executor thread dumps.|4.0.0
spark.ui.heapHistogramEnabled|true|Whether to show a link for executor heap histogram in Executor page.|3.5.0
spark.ui.liveUpdate.period|100ms|"How often to update live entities. -1 means ""never update"" when replaying applications, meaning only the last write will happen. For live applications, this avoids a few operations that we can live without when rapidly processing incoming task events."|2.3.0
spark.ui.liveUpdate.minFlushPeriod|1s|Minimum time elapsed before stale UI data is flushed. This avoids UI staleness when incoming task events are not fired frequently.|2.4.2
spark.ui.port|4040|Port for your application's dashboard, which shows memory and workload data.|0.7.0
spark.ui.retainedJobs|1000|How many jobs the Spark UI and status APIs remember before garbage collecting. This is a target maximum, and fewer elements may be retained in some circumstances.|1.2.0
spark.ui.retainedStages|1000|How many stages the Spark UI and status APIs remember before garbage collecting. This is a target maximum, and fewer elements may be retained in some circumstances.|0.9.0
spark.ui.retainedTasks|100000|How many tasks in one stage the Spark UI and status APIs remember before garbage collecting. This is a target maximum, and fewer elements may be retained in some circumstances.|2.0.1
spark.ui.reverseProxy|false|Enable running Spark Master as reverse proxy for worker and application UIs. In this mode, Spark master will reverse proxy the worker and application UIs to enable access without requiring direct access to their hosts. Use it with caution, as worker and application UI will not be accessible directly, you will only be able to access them through spark master/proxy public URL. This setting affects all the workers and application UIs running in the cluster and must be set on all the workers, drivers and masters.|2.1.0
spark.ui.reverseProxyUrl||"If the Spark UI should be served through another front-end reverse proxy, this is the URL for accessing the Spark master UI through that reverse proxy. This is useful when running proxy for authentication e.g. an OAuth proxy. The URL may contain a path prefix, likehttp://mydomain.com/path/to/spark/, allowing you to serve the UI for multiple Spark clusters and other web applications through the same virtual host and port. Normally, this should be an absolute URL including scheme (http/https), host and port. It is possible to specify a relative URL starting with ""/"" here. In this case, all URLs generated by the Spark UI and Spark REST APIs will be server-relative links -- this will still work, as the entire Spark UI is served through the same host and port.The setting affects link generation in the Spark UI, but the front-end reverse proxy is responsible forstripping a path prefix before forwarding the request,rewriting redirects which point directly to the Spark master,redirecting access fromhttp://mydomain.com/path/to/sparktohttp://mydomain.com/path/to/spark/(trailing slash after path prefix); otherwise relative links on the master page do not work correctly.This setting affects all the workers and application UIs running in the cluster and must be set identically on all the workers, drivers and masters. In is only effective whenspark.ui.reverseProxyis turned on. This setting is not needed when the Spark master web UI is directly reachable.Note that the value of the setting can't contain the keywordproxyorhistoryafter split by ""/"". Spark UI relies on both keywords for getting REST API endpoints from URIs."|2.1.0
spark.ui.proxyRedirectUri||Where to address redirects when Spark is running behind a proxy. This will make Spark modify redirect responses so they point to the proxy server, instead of the Spark UI's own address. This should be only the address of the server, without any prefix paths for the application; the prefix should be set either by the proxy server itself (by adding theX-Forwarded-Contextrequest header), or by setting the proxy base in the Spark app's configuration.|3.0.0
spark.ui.showConsoleProgress|false|Show the progress bar in the console. The progress bar shows the progress of stages that run for longer than 500ms. If multiple stages run at the same time, multiple progress bars will be displayed on the same line.Note:In shell environment, the default value of spark.ui.showConsoleProgress is true.|1.2.1
spark.ui.consoleProgress.update.interval|200|An interval in milliseconds to update the progress bar in the console.|2.1.0
spark.ui.custom.executor.log.url|(none)|Specifies custom spark executor log URL for supporting external log service instead of using cluster managers' application log URLs in Spark UI. Spark will support some path variables via patterns which can vary on cluster manager. Please check the documentation for your cluster manager to see which patterns are supported, if any.Please note that this configuration also replaces original log urls in event log, which will be also effective when accessing the application on history server. The new log urls must be permanent, otherwise you might have dead link for executor log urls.For now, only YARN and K8s cluster manager supports this configuration|3.0.0
spark.ui.prometheus.enabled|true|Expose executor metrics at /metrics/executors/prometheus at driver web page.|3.0.0
spark.worker.ui.retainedExecutors|1000|How many finished executors the Spark UI and status APIs remember before garbage collecting.|1.5.0
spark.worker.ui.retainedDrivers|1000|How many finished drivers the Spark UI and status APIs remember before garbage collecting.|1.5.0
spark.sql.ui.retainedExecutions|1000|How many finished executions the Spark UI and status APIs remember before garbage collecting.|1.5.0
spark.streaming.ui.retainedBatches|1000|How many finished batches the Spark UI and status APIs remember before garbage collecting.|1.0.0
spark.ui.retainedDeadExecutors|100|How many dead executors the Spark UI and status APIs remember before garbage collecting.|2.0.0
spark.ui.filters|None|Comma separated list of filter class names to apply to the Spark Web UI. The filter should be a standardjavax servlet Filter.Filter parameters can also be specified in the configuration, by setting config entries of the formspark.<class name of filter>.param.<param name>=<value>For example:spark.ui.filters=com.test.filter1spark.com.test.filter1.param.name1=foospark.com.test.filter1.param.name2=bar|1.0.0
spark.ui.requestHeaderSize|8k|The maximum allowed size for a HTTP request header, in bytes unless otherwise specified. This setting applies for the Spark History Server too.|2.2.3
spark.ui.timelineEnabled|true|Whether to display event timeline data on UI pages.|3.4.0
spark.ui.timeline.executors.maximum|250|The maximum number of executors shown in the event timeline.|3.2.0
spark.ui.timeline.jobs.maximum|500|The maximum number of jobs shown in the event timeline.|3.2.0
spark.ui.timeline.stages.maximum|500|The maximum number of stages shown in the event timeline.|3.2.0
spark.ui.timeline.tasks.maximum|1000|The maximum number of tasks shown in the event timeline.|1.4.0
spark.broadcast.compress|true|Whether to compress broadcast variables before sending them. Generally a good idea. Compression will usespark.io.compression.codec.|0.6.0
spark.checkpoint.dir|(none)|Set the default directory for checkpointing. It can be overwritten by SparkContext.setCheckpointDir.|4.0.0
spark.checkpoint.compress|true|Whether to compress RDD checkpoints. Generally a good idea. Compression will usespark.io.compression.codec.|2.2.0
spark.io.compression.codec|lz4|The codec used to compress internal data such as RDD partitions, event log, broadcast variables and shuffle outputs. By default, Spark provides four codecs:lz4,lzf,snappy, andzstd. You can also use fully qualified class names to specify the codec, e.g.org.apache.spark.io.LZ4CompressionCodec,org.apache.spark.io.LZFCompressionCodec,org.apache.spark.io.SnappyCompressionCodec, andorg.apache.spark.io.ZStdCompressionCodec.|0.8.0
spark.io.compression.lz4.blockSize|32k|Block size used in LZ4 compression, in the case when LZ4 compression codec is used. Lowering this block size will also lower shuffle memory usage when LZ4 is used. Default unit is bytes, unless otherwise specified. This configuration only applies tospark.io.compression.codec.|1.4.0
spark.io.compression.snappy.blockSize|32k|Block size in Snappy compression, in the case when Snappy compression codec is used. Lowering this block size will also lower shuffle memory usage when Snappy is used. Default unit is bytes, unless otherwise specified. This configuration only applies tospark.io.compression.codec.|1.4.0
spark.io.compression.zstd.level|1|Compression level for Zstd compression codec. Increasing the compression level will result in better compression at the expense of more CPU and memory. This configuration only applies tospark.io.compression.codec.|2.3.0
spark.io.compression.zstd.bufferSize|32k|Buffer size in bytes used in Zstd compression, in the case when Zstd compression codec is used. Lowering this size will lower the shuffle memory usage when Zstd is used, but it might increase the compression cost because of excessive JNI call overhead. This configuration only applies tospark.io.compression.codec.|2.3.0
spark.io.compression.zstd.bufferPool.enabled|true|If true, enable buffer pool of ZSTD JNI library.|3.2.0
spark.io.compression.zstd.strategy|(none)|Compression strategy for Zstd compression codec. The higher the value is, the more complex it becomes, usually resulting stronger but slower compression or higher CPU cost.|4.1.0
spark.io.compression.zstd.workers|0|Thread size spawned to compress in parallel when using Zstd. When value is 0 no worker is spawned, it works in single-threaded mode. When value > 0, it triggers asynchronous mode, corresponding number of threads are spawned. More workers improve performance, but also increase memory cost.|4.0.0
spark.io.compression.lzf.parallel.enabled|true|When true, LZF compression will use multiple threads to compress data in parallel.|4.0.0
spark.kryo.classesToRegister|(none)|If you use Kryo serialization, give a comma-separated list of custom class names to register with Kryo. See thetuning guidefor more details.|1.2.0
spark.kryo.referenceTracking|true|Whether to track references to the same object when serializing data with Kryo, which is necessary if your object graphs have loops and useful for efficiency if they contain multiple copies of the same object. Can be disabled to improve performance if you know this is not the case.|0.8.0
spark.kryo.registrationRequired|false|Whether to require registration with Kryo. If set to 'true', Kryo will throw an exception if an unregistered class is serialized. If set to false (the default), Kryo will write unregistered class names along with each object. Writing class names can cause significant performance overhead, so enabling this option can enforce strictly that a user has not omitted classes from registration.|1.1.0
spark.kryo.registrator|(none)|If you use Kryo serialization, give a comma-separated list of classes that register your custom classes with Kryo. This property is useful if you need to register your classes in a custom way, e.g. to specify a custom field serializer. Otherwisespark.kryo.classesToRegisteris simpler. It should be set to classes that extendKryoRegistrator. See thetuning guidefor more details.|0.5.0
spark.kryo.unsafe|true|Whether to use unsafe based Kryo serializer. Can be substantially faster by using Unsafe Based IO.|2.1.0
spark.kryoserializer.buffer.max|64m|"Maximum allowable size of Kryo serialization buffer, in MiB unless otherwise specified. This must be larger than any object you attempt to serialize and must be less than 2048m. Increase this if you get a ""buffer limit exceeded"" exception inside Kryo."|1.4.0
spark.kryoserializer.buffer|64k|Initial size of Kryo's serialization buffer, in KiB unless otherwise specified. Note that there will be one bufferper coreon each worker. This buffer will grow up tospark.kryoserializer.buffer.maxif needed.|1.4.0
spark.rdd.compress|false|Whether to compress serialized RDD partitions (e.g. forStorageLevel.MEMORY_ONLY_SERin Java and Scala orStorageLevel.MEMORY_ONLYin Python). Can save substantial space at the cost of some extra CPU time. Compression will usespark.io.compression.codec.|0.6.0
spark.serializer|org.apache.spark.serializer.JavaSerializer|Class to use for serializing objects that will be sent over the network or need to be cached in serialized form. The default of Java serialization works with any Serializable Java object but is quite slow, so we recommendusingorg.apache.spark.serializer.KryoSerializerand configuring Kryo serializationwhen speed is necessary. Can be any subclass oforg.apache.spark.Serializer.|0.5.0
spark.serializer.objectStreamReset|100|When serializing using org.apache.spark.serializer.JavaSerializer, the serializer caches objects to prevent writing redundant data, however that stops garbage collection of those objects. By calling 'reset' you flush that info from the serializer, and allow old objects to be collected. To turn off this periodic reset set it to -1. By default it will reset the serializer every 100 objects.|1.0.0
spark.memory.fraction|0.6|Fraction of (heap space - 300MB) used for execution and storage. The lower this is, the more frequently spills and cached data eviction occur. The purpose of this config is to set aside memory for internal metadata, user data structures, and imprecise size estimation in the case of sparse, unusually large records. Leaving this at the default value is recommended. For more detail, including important information about correctly tuning JVM garbage collection when increasing this value, seethis description.|1.6.0
spark.memory.storageFraction|0.5|Amount of storage memory immune to eviction, expressed as a fraction of the size of the region set aside byspark.memory.fraction. The higher this is, the less working memory may be available to execution and tasks may spill to disk more often. Leaving this at the default value is recommended. For more detail, seethis description.|1.6.0
spark.memory.offHeap.enabled|false|If true, Spark will attempt to use off-heap memory for certain operations. If off-heap memory use is enabled, thenspark.memory.offHeap.sizemust be positive.|1.6.0
spark.memory.offHeap.size|0|The absolute amount of memory which can be used for off-heap allocation, in bytes unless otherwise specified. This setting has no impact on heap memory usage, so if your executors' total memory consumption must fit within some hard limit then be sure to shrink your JVM heap size accordingly. This must be set to a positive value whenspark.memory.offHeap.enabled=true.|1.6.0
spark.memory.unmanagedMemoryPollingInterval|0s|Interval for polling unmanaged memory users to track their memory usage. Unmanaged memory users are components that manage their own memory outside of Spark's core memory management, such as RocksDB for Streaming State Store. Setting this to 0 disables unmanaged memory polling.|4.1.0
spark.storage.unrollMemoryThreshold|1024 * 1024|Initial memory to request before unrolling any block.|1.1.0
spark.storage.replication.proactive|true|Enables proactive block replication for RDD blocks. Cached RDD block replicas lost due to executor failures are replenished if there are any existing available replicas. This tries to get the replication level of the block to the initial number.|2.2.0
spark.storage.localDiskByExecutors.cacheSize|1000|The max number of executors for which the local dirs are stored. This size is both applied for the driver and both for the executors side to avoid having an unbounded store. This cache will be used to avoid the network in case of fetching disk persisted RDD blocks or shuffle blocks (whenspark.shuffle.readHostLocalDiskis set) from the same host.|3.0.0
spark.cleaner.periodicGC.interval|30min|Controls how often to trigger a garbage collection.This context cleaner triggers cleanups only when weak references are garbage collected. In long-running applications with large driver JVMs, where there is little memory pressure on the driver, this may happen very occasionally or not at all. Not cleaning at all may lead to executors running out of disk space after a while.|1.6.0
spark.cleaner.referenceTracking|true|Enables or disables context cleaning.|1.0.0
spark.cleaner.referenceTracking.blocking|true|Controls whether the cleaning thread should block on cleanup tasks (other than shuffle, which is controlled byspark.cleaner.referenceTracking.blocking.shuffleSpark property).|1.0.0
spark.cleaner.referenceTracking.blocking.shuffle|false|Controls whether the cleaning thread should block on shuffle cleanup tasks.|1.1.1
spark.cleaner.referenceTracking.cleanCheckpoints|false|Controls whether to clean checkpoint files if the reference is out of scope.|1.4.0
spark.broadcast.blockSize|4m|Size of each piece of a block forTorrentBroadcastFactory, in KiB unless otherwise specified. Too large a value decreases parallelism during broadcast (makes it slower); however, if it is too small,BlockManagermight take a performance hit.|0.5.0
spark.broadcast.checksum|true|Whether to enable checksum for broadcast. If enabled, broadcasts will include a checksum, which can help detect corrupted blocks, at the cost of computing and sending a little more data. It's possible to disable it if the network has other mechanisms to guarantee data won't be corrupted during broadcast.|2.1.1
spark.broadcast.UDFCompressionThreshold|1 * 1024 * 1024|The threshold at which user-defined functions (UDFs) and Python RDD commands are compressed by broadcast in bytes unless otherwise specified.|3.0.0
spark.executor.cores|1 in YARN mode, all the available cores on the worker in standalone mode.|The number of cores to use on each executor.|1.0.0
spark.default.parallelism|"For distributed shuffle operations likereduceByKeyandjoin, the
    largest number of partitions in a parent RDD.  For operations likeparallelizewith no parent RDDs, it depends on the cluster manager:Local mode: number of cores on the local machineOthers: total number of cores on all executor nodes or 2, whichever is larger"|Default number of partitions in RDDs returned by transformations likejoin,reduceByKey, andparallelizewhen not set by user.|0.5.0
spark.executor.heartbeatInterval|10s|Interval between each executor's heartbeats to the driver. Heartbeats let the driver know that the executor is still alive and update it with metrics for in-progress tasks. spark.executor.heartbeatInterval should be significantly less than spark.network.timeout|1.1.0
spark.files.fetchTimeout|60s|Communication timeout to use when fetching files added through SparkContext.addFile() from the driver.|1.0.0
spark.files.useFetchCache|true|If set to true (default), file fetching will use a local cache that is shared by executors that belong to the same application, which can improve task launching performance when running many executors on the same host. If set to false, these caching optimizations will be disabled and all executors will fetch their own copies of files. This optimization may be disabled in order to use Spark local directories that reside on NFS filesystems (seeSPARK-6313for more details).|1.2.2
spark.files.overwrite|false|Whether to overwrite any files which exist at the startup. Users can not overwrite the files added bySparkContext.addFileorSparkContext.addJarbefore even if this option is settrue.|1.0.0
spark.files.ignoreCorruptFiles|false|Whether to ignore corrupt files. If true, the Spark jobs will continue to run when encountering corrupted or non-existing files and contents that have been read will still be returned.|2.1.0
spark.files.ignoreMissingFiles|false|Whether to ignore missing files. If true, the Spark jobs will continue to run when encountering missing files and the contents that have been read will still be returned.|2.4.0
spark.files.maxPartitionBytes|134217728 (128 MiB)|The maximum number of bytes to pack into a single partition when reading files.|2.1.0
spark.files.openCostInBytes|4194304 (4 MiB)|The estimated cost to open a file, measured by the number of bytes could be scanned at the same time. This is used when putting multiple files into a partition. It is better to overestimate, then the partitions with small files will be faster than partitions with bigger files.|2.1.0
spark.hadoop.cloneConf|false|If set to true, clones a new HadoopConfigurationobject for each task. This option should be enabled to work aroundConfigurationthread-safety issues (seeSPARK-2546for more details). This is disabled by default in order to avoid unexpected performance regressions for jobs that are not affected by these issues.|1.0.3
spark.hadoop.validateOutputSpecs|true|If set to true, validates the output specification (e.g. checking if the output directory already exists) used in saveAsHadoopFile and other variants. This can be disabled to silence exceptions due to pre-existing output directories. We recommend that users do not disable this except if trying to achieve compatibility with previous versions of Spark. Simply use Hadoop's FileSystem API to delete output directories by hand. This setting is ignored for jobs generated through Spark Streaming's StreamingContext, since data may need to be rewritten to pre-existing output directories during checkpoint recovery.|1.0.1
spark.storage.memoryMapThreshold|2m|Size of a block above which Spark memory maps when reading a block from disk. Default unit is bytes, unless specified otherwise. This prevents Spark from memory mapping very small blocks. In general, memory mapping has high overhead for blocks close to or below the page size of the operating system.|0.9.2
spark.storage.decommission.enabled|false|Whether to decommission the block manager when decommissioning executor.|3.1.0
spark.storage.decommission.shuffleBlocks.enabled|true|Whether to transfer shuffle blocks during block manager decommissioning. Requires a migratable shuffle resolver (like sort based shuffle).|3.1.0
spark.storage.decommission.shuffleBlocks.maxThreads|8|Maximum number of threads to use in migrating shuffle files.|3.1.0
spark.storage.decommission.rddBlocks.enabled|true|Whether to transfer RDD blocks during block manager decommissioning.|3.1.0
spark.storage.decommission.fallbackStorage.path|(none)|The location for fallback storage during block manager decommissioning. For example,s3a://spark-storage/. In case of empty, fallback storage is disabled. The storage should be managed by TTL because Spark will not clean it up.|3.1.0
spark.storage.decommission.fallbackStorage.cleanUp|false|If true, Spark cleans up its fallback storage data during shutting down.|3.2.0
spark.storage.decommission.shuffleBlocks.maxDiskSize|(none)|Maximum disk space to use to store shuffle blocks before rejecting remote shuffle blocks. Rejecting remote shuffle blocks means that an executor will not receive any shuffle migrations, and if there are no other executors available for migration then shuffle blocks will be lost unlessspark.storage.decommission.fallbackStorage.pathis configured.|3.2.0
spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version|1|The file output committer algorithm version, valid algorithm version number: 1 or 2. Note that 2 may cause a correctness issue like MAPREDUCE-7282.|2.2.0
spark.eventLog.logStageExecutorMetrics|false|Whether to write per-stage peaks of executor metrics (for each executor) to the event log.Note:The metrics are polled (collected) and sent in the executor heartbeat, and this is always done; this configuration is only to determine if aggregated metric peaks are written to the event log.|3.0.0
spark.executor.processTreeMetrics.enabled|false|Whether to collect process tree metrics (from the /proc filesystem) when collecting executor metrics.Note:The process tree metrics are collected only if the /proc filesystem exists.|3.0.0
spark.executor.metrics.pollingInterval|0|How often to collect executor metrics (in milliseconds).If 0, the polling is done on executor heartbeats (thus at the heartbeat interval, specified byspark.executor.heartbeatInterval). If positive, the polling is done at this interval.|3.0.0
spark.eventLog.gcMetrics.youngGenerationGarbageCollectors|Copy,PS Scavenge,ParNew,G1 Young Generation|Names of supported young generation garbage collector. A name usually is the return of GarbageCollectorMXBean.getName. The built-in young generation garbage collectors are Copy,PS Scavenge,ParNew,G1 Young Generation.|3.0.0
spark.eventLog.gcMetrics.oldGenerationGarbageCollectors|MarkSweepCompact,PS MarkSweep,ConcurrentMarkSweep,G1 Old Generation|Names of supported old generation garbage collector. A name usually is the return of GarbageCollectorMXBean.getName. The built-in old generation garbage collectors are MarkSweepCompact,PS MarkSweep,ConcurrentMarkSweep,G1 Old Generation.|3.0.0
spark.executor.metrics.fileSystemSchemes|file,hdfs|The file system schemes to report in executor metrics.|3.1.0
spark.rpc.message.maxSize|128|"Maximum message size (in MiB) to allow in ""control plane"" communication; generally only applies to map output size information sent between executors and the driver. Increase this if you are running jobs with many thousands of map and reduce tasks and see messages about the RPC message size."|2.0.0
spark.blockManager.port|(random)|Port for all block managers to listen on. These exist on both the driver and the executors.|1.1.0
spark.driver.blockManager.port|(value of spark.blockManager.port)|Driver-specific port for the block manager to listen on, for cases where it cannot use the same configuration as executors.|2.1.0
spark.driver.bindAddress|(value of spark.driver.host)|Hostname or IP address where to bind listening sockets. This config overrides the SPARK_LOCAL_IP environment variable (see below).It also allows a different address from the local one to be advertised to executors or external systems. This is useful, for example, when running containers with bridged networking. For this to properly work, the different ports used by the driver (RPC, block manager and UI) need to be forwarded from the container's host.|2.1.0
spark.driver.host|(local hostname)|Hostname or IP address for the driver. This is used for communicating with the executors and the standalone Master.|0.7.0
spark.driver.port|(random)|Port for the driver to listen on. This is used for communicating with the executors and the standalone Master.|0.7.0
spark.driver.metrics.pollingInterval|10s|How often to collect driver metrics (in milliseconds). If unset, the polling is done at the executor heartbeat interval. If set, the polling is done at this interval.|4.1.0
spark.io.mode.default|AUTO|The default IO mode for Netty transports. One ofNIO,EPOLL,KQUEUE, orAUTO. The default value isAUTOwhich means to use native Netty libraries if available. In other words, for Linux environments,EPOLLis used if available before usingNIO. For MacOS/BSD environments,KQUEUEis used if available before usingNIO.|4.1.0
spark.rpc.io.backLog|64|Length of the accept queue for the RPC server. For large applications, this value may need to be increased, so that incoming connections are not dropped when a large number of connections arrives in a short period of time.|3.0.0
spark.network.timeout|120s|Default timeout for all network interactions. This config will be used in place ofspark.storage.blockManagerHeartbeatTimeoutMs,spark.shuffle.io.connectionTimeout,spark.rpc.askTimeoutorspark.rpc.lookupTimeoutif they are not configured.|1.3.0
spark.network.timeoutInterval|60s|Interval for the driver to check and expire dead executors.|1.3.2
spark.network.io.preferDirectBufs|true|If enabled then off-heap buffer allocations are preferred by the shared allocators. Off-heap buffers are used to reduce garbage collection during shuffle and cache block transfer. For environments where off-heap memory is tightly limited, users may wish to turn this off to force all allocations to be on-heap.|3.0.0
spark.port.maxRetries|16|Maximum number of retries when binding to a port before giving up. When a port is given a specific value (non 0), each subsequent retry will increment the port used in the previous attempt by 1 before retrying. This essentially allows it to try a range of ports from the start port specified to port + maxRetries.|1.1.1
spark.rpc.askTimeout|spark.network.timeout|Duration for an RPC ask operation to wait before timing out.|1.4.0
spark.rpc.lookupTimeout|120s|Duration for an RPC remote endpoint lookup operation to wait before timing out.|1.4.0
spark.network.maxRemoteBlockSizeFetchToMem|200m|Remote block will be fetched to disk when size of the block is above this threshold in bytes. This is to avoid a giant request takes too much memory. Note this configuration will affect both shuffle fetch and block manager remote block fetch. For users who enabled external shuffle service, this feature can only work when external shuffle service is at least 2.3.0.|3.0.0
spark.rpc.io.connectionTimeout|value ofspark.network.timeout|Timeout for the established connections between RPC peers to be marked as idled and closed if there are outstanding RPC requests but no traffic on the channel for at leastconnectionTimeout.|1.2.0
spark.rpc.io.connectionCreationTimeout|value ofspark.rpc.io.connectionTimeout|Timeout for establishing a connection between RPC peers.|3.2.0
spark.cores.max|(not set)|When running on astandalone deploy cluster, the maximum amount of CPU cores to request for the application from across the cluster (not from each machine). If not set, the default will bespark.deploy.defaultCoreson Spark's standalone cluster manager.|0.6.0
spark.locality.wait|3s|How long to wait to launch a data-local task before giving up and launching it on a less-local node. The same wait will be used to step through multiple locality levels (process-local, node-local, rack-local and then any). It is also possible to customize the waiting time for each level by settingspark.locality.wait.node, etc. You should increase this setting if your tasks are long and see poor locality, but the default usually works well.|0.5.0
spark.locality.wait.node|spark.locality.wait|Customize the locality wait for node locality. For example, you can set this to 0 to skip node locality and search immediately for rack locality (if your cluster has rack information).|0.8.0
spark.locality.wait.process|spark.locality.wait|Customize the locality wait for process locality. This affects tasks that attempt to access cached data in a particular executor process.|0.8.0
spark.locality.wait.rack|spark.locality.wait|Customize the locality wait for rack locality.|0.8.0
spark.scheduler.maxRegisteredResourcesWaitingTime|30s|Maximum amount of time to wait for resources to register before scheduling begins.|1.1.1
spark.scheduler.minRegisteredResourcesRatio|0.8 for KUBERNETES mode; 0.8 for YARN mode; 0.0 for standalone mode|The minimum ratio of registered resources (registered resources / total expected resources) (resources are executors in yarn mode and Kubernetes mode, CPU cores in standalone mode) to wait for before scheduling begins. Specified as a double between 0.0 and 1.0. Regardless of whether the minimum ratio of resources has been reached, the maximum amount of time it will wait before scheduling begins is controlled by configspark.scheduler.maxRegisteredResourcesWaitingTime.|1.1.1
spark.scheduler.mode|FIFO|Thescheduling modebetween jobs submitted to the same SparkContext. Can be set toFAIRto use fair sharing instead of queueing jobs one after another. Useful for multi-user services.|0.8.0
spark.scheduler.revive.interval|1s|The interval length for the scheduler to revive the worker resource offers to run tasks.|0.8.1
spark.scheduler.listenerbus.eventqueue.capacity|10000|The default capacity for event queues. Spark will try to initialize an event queue using capacity specified byspark.scheduler.listenerbus.eventqueue.queueName.capacityfirst. If it's not configured, Spark will use the default capacity specified by this config. Note that capacity must be greater than 0. Consider increasing value (e.g. 20000) if listener events are dropped. Increasing this value may result in the driver using more memory.|2.3.0
spark.scheduler.listenerbus.eventqueue.shared.capacity|spark.scheduler.listenerbus.eventqueue.capacity|Capacity for shared event queue in Spark listener bus, which hold events for external listener(s) that register to the listener bus. Consider increasing value, if the listener events corresponding to shared queue are dropped. Increasing this value may result in the driver using more memory.|3.0.0
spark.scheduler.listenerbus.eventqueue.appStatus.capacity|spark.scheduler.listenerbus.eventqueue.capacity|Capacity for appStatus event queue, which hold events for internal application status listeners. Consider increasing value, if the listener events corresponding to appStatus queue are dropped. Increasing this value may result in the driver using more memory.|3.0.0
spark.scheduler.listenerbus.eventqueue.executorManagement.capacity|spark.scheduler.listenerbus.eventqueue.capacity|Capacity for executorManagement event queue in Spark listener bus, which hold events for internal executor management listeners. Consider increasing value if the listener events corresponding to executorManagement queue are dropped. Increasing this value may result in the driver using more memory.|3.0.0
spark.scheduler.listenerbus.eventqueue.eventLog.capacity|spark.scheduler.listenerbus.eventqueue.capacity|Capacity for eventLog queue in Spark listener bus, which hold events for Event logging listeners that write events to eventLogs. Consider increasing value if the listener events corresponding to eventLog queue are dropped. Increasing this value may result in the driver using more memory.|3.0.0
spark.scheduler.listenerbus.eventqueue.streams.capacity|spark.scheduler.listenerbus.eventqueue.capacity|Capacity for streams queue in Spark listener bus, which hold events for internal streaming listener. Consider increasing value if the listener events corresponding to streams queue are dropped. Increasing this value may result in the driver using more memory.|3.0.0
spark.scheduler.resource.profileMergeConflicts|false|"If set to ""true"", Spark will merge ResourceProfiles when different profiles are specified in RDDs that get combined into a single stage. When they are merged, Spark chooses the maximum of each resource and creates a new ResourceProfile. The default of false results in Spark throwing an exception if multiple different ResourceProfiles are found in RDDs going into the same stage."|3.1.0
spark.scheduler.excludeOnFailure.unschedulableTaskSetTimeout|120s|The timeout in seconds to wait to acquire a new executor and schedule a task before aborting a TaskSet which is unschedulable because all executors are excluded due to task failures.|2.4.1
spark.standalone.submit.waitAppCompletion|false|If set to true, Spark will merge ResourceProfiles when different profiles are specified in RDDs that get combined into a single stage. When they are merged, Spark chooses the maximum of each resource and creates a new ResourceProfile. The default of false results in Spark throwing an exception if multiple different ResourceProfiles are found in RDDs going into the same stage.|3.1.0
spark.excludeOnFailure.enabled|false|"If set to ""true"", prevent Spark from scheduling tasks on executors that have been excluded due to too many task failures. The algorithm used to exclude executors and nodes can be further controlled by the other ""spark.excludeOnFailure"" configuration options. This config will be overridden by ""spark.excludeOnFailure.application.enabled"" and ""spark.excludeOnFailure.taskAndStage.enabled"" to specify exclusion enablement on individual levels."|2.1.0
